15:35:25.779 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Alice', age=36, gender='Male'}
15:35:25.782 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:25.783 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:25.784 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Alice', age=36, gender='Male'}
15:35:27.286 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=47, gender='Female'}
15:35:27.290 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=46, gender='Female'}
15:35:27.293 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:27.296 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:27.297 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=46, gender='Female'}
15:35:28.806 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:28.808 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:28.810 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=47, gender='Female'}
15:35:30.326 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Harry', age=1, gender='Female'}
15:35:30.328 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Harry', age=1, gender='Female'}
15:35:30.329 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Bob', age=20, gender='Female'}
15:35:30.330 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=47, gender='Male'}
15:35:30.331 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:30.333 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:30.335 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Bob', age=20, gender='Female'}
15:35:31.848 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:31.850 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:31.851 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=47, gender='Male'}
15:35:33.352 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Alice', age=5, gender='Male'}
15:35:33.353 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='David', age=9, gender='Female'}
15:35:33.354 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Charlie', age=68, gender='Female'}
15:35:33.355 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Alice', age=5, gender='Male'}
15:35:33.356 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='David', age=9, gender='Female'}
15:35:33.357 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:35:33.358 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:33.359 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Charlie', age=68, gender='Female'}
15:35:34.870 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=30, gender='Male'}
15:35:34.870 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Jack', age=7, gender='Male'}
15:35:34.871 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=21, gender='Male'}
15:35:34.871 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=7, gender='Male'}
